USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.2  25448 10036 ?        Ss   Sep08   0:27 /usr/lib/systemd/systemd --system --deserialize=86 vultr
root           2  0.0  0.0      0     0 ?        S    Sep08   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    Sep08   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-rcu_gp]
root           5  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-sync_wq]
root           6  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-kvfree_rcu_reclaim]
root           7  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-slub_flushwq]
root           8  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-netns]
root          10  0.0  0.0      0     0 ?        I<   Sep08   0:02 [kworker/0:0H-kblockd]
root          13  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-mm_percpu_wq]
root          14  0.0  0.0      0     0 ?        S    Sep08   0:05 [ksoftirqd/0]
root          15  0.0  0.0      0     0 ?        I    Sep08   0:38 [rcu_preempt]
root          16  0.0  0.0      0     0 ?        S    Sep08   0:00 [rcu_exp_par_gp_kthread_worker/0]
root          17  0.0  0.0      0     0 ?        S    Sep08   0:00 [rcu_exp_gp_kthread_worker]
root          18  0.0  0.0      0     0 ?        S    Sep08   0:01 [migration/0]
root          19  0.0  0.0      0     0 ?        S    Sep08   0:00 [kprobe-optimizer]
root          20  0.0  0.0      0     0 ?        S    Sep08   0:00 [idle_inject/0]
root          21  0.0  0.0      0     0 ?        S    Sep08   0:00 [cpuhp/0]
root          22  0.0  0.0      0     0 ?        S    Sep08   0:00 [cpuhp/1]
root          23  0.0  0.0      0     0 ?        S    Sep08   0:00 [idle_inject/1]
root          24  0.0  0.0      0     0 ?        S    Sep08   0:01 [migration/1]
root          25  0.0  0.0      0     0 ?        S    Sep08   0:05 [ksoftirqd/1]
root          27  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/1:0H-kblockd]
root          28  0.0  0.0      0     0 ?        S    Sep08   0:00 [kdevtmpfs]
root          29  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-inet_frag_wq]
root          30  0.0  0.0      0     0 ?        I    Sep08   0:00 [rcu_tasks_kthread]
root          31  0.0  0.0      0     0 ?        I    Sep08   0:00 [rcu_tasks_rude_kthread]
root          32  0.0  0.0      0     0 ?        S    Sep08   0:00 [kauditd]
root          33  0.0  0.0      0     0 ?        S    Sep08   0:00 [khungtaskd]
root          34  0.0  0.0      0     0 ?        S    Sep08   0:00 [oom_reaper]
root          36  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-writeback]
root          37  0.0  0.0      0     0 ?        S    Sep08   0:26 [kcompactd0]
root          39  0.0  0.0      0     0 ?        SN   Sep08   0:00 [ksmd]
root          40  0.0  0.0      0     0 ?        SN   Sep08   0:00 [khugepaged]
root          41  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-kblockd]
root          42  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-blkcg_punt_bio]
root          43  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-kintegrityd]
root          45  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/9-acpi]
root          46  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-tpm_dev_wq]
root          47  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-ata_sff]
root          48  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-md_bitmap]
root          49  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-md_llbitmap_io]
root          50  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-md_llbitmap_unplug]
root          51  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-edac-poller]
root          52  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-devfreq_wq]
root          53  0.0  0.0      0     0 ?        S    Sep08   0:00 [watchdogd]
root          54  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-quota_events_unbound]
root          55  0.0  0.0      0     0 ?        S    Sep08   0:52 [kswapd0]
root          56  0.0  0.0      0     0 ?        S    Sep08   0:00 [ecryptfs-kthread]
root          57  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-kthrotld]
root          58  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/24-aerdrv]
root          59  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/25-aerdrv]
root          60  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/26-aerdrv]
root          61  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/27-aerdrv]
root          62  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/28-aerdrv]
root          63  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/29-aerdrv]
root          64  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/30-aerdrv]
root          65  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/31-aerdrv]
root          66  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/32-aerdrv]
root          67  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/33-aerdrv]
root          68  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/34-aerdrv]
root          69  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/35-aerdrv]
root          70  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/36-aerdrv]
root          71  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/37-aerdrv]
root          72  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/38-aerdrv]
root          73  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/39-aerdrv]
root          74  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/40-aerdrv]
root          75  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/41-aerdrv]
root          76  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/42-aerdrv]
root          77  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/43-aerdrv]
root          78  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/44-aerdrv]
root          79  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/45-aerdrv]
root          80  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/46-aerdrv]
root          81  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/47-aerdrv]
root          82  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/48-aerdrv]
root          83  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/49-aerdrv]
root          84  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/50-aerdrv]
root          85  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/51-aerdrv]
root          86  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/52-aerdrv]
root          87  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/53-aerdrv]
root          88  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/54-aerdrv]
root          89  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/55-aerdrv]
root          90  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/56-aerdrv]
root          91  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-acpi_thermal_pm]
root          92  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-mld]
root          93  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-ipv6_addrconf]
root          94  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-kstrp]
root          96  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/u9:0]
root         108  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-charger_manager]
root         110  0.0  0.0      0     0 ?        S    Sep08   0:00 [hwrng]
root         164  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-tls-strp]
root         214  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-ixgbe]
root         318  0.0  0.0      0     0 ?        S    Sep08   0:00 [scsi_eh_0]
root         319  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-scsi_tmf_0]
root         320  0.0  0.0      0     0 ?        S    Sep08   0:00 [scsi_eh_1]
root         321  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-scsi_tmf_1]
root         322  0.0  0.0      0     0 ?        S    Sep08   0:00 [scsi_eh_2]
root         323  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-scsi_tmf_2]
root         324  0.0  0.0      0     0 ?        S    Sep08   0:00 [scsi_eh_3]
root         325  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-scsi_tmf_3]
root         326  0.0  0.0      0     0 ?        S    Sep08   0:00 [scsi_eh_4]
root         327  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-scsi_tmf_4]
root         328  0.0  0.0      0     0 ?        S    Sep08   0:00 [scsi_eh_5]
root         329  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-scsi_tmf_5]
root         337  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/0:1H]
root         338  0.0  0.0      0     0 ?        I<   Sep08   0:03 [kworker/1:1H-kblockd]
root         378  0.0  0.0      0     0 ?        S    Sep08   0:06 [jbd2/vda2-8]
root         379  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-ext4-rsv-conversion]
